configuration,kernel,folds,accuracy_mean,accuracy_standard_deviation,balanced_accuracy_mean,balanced_accuracy_standard_deviation,roc_auc_mean,roc_auc_standard_deviation
clamp_native10,linear,3,0.7166666666666668,0.019094065395649375,0.7166666666666667,0.019094065395649385,0.8170833333333333,0.008393015449368213
clamp_native10,rbf,3,0.8541666666666666,0.019094065395649326,0.8541666666666666,0.019094065395649326,0.8972916666666667,0.01562916611125921
clamp_pca4,linear,3,0.5916666666666667,0.050518148554092264,0.5916666666666667,0.050518148554092264,0.734375,0.06820236432851874
clamp_pca4,rbf,3,0.7541666666666668,0.0520416499866533,0.7541666666666668,0.05204164998665335,0.8254166666666666,0.08937791370541907
fabiana_native8,linear,3,0.9125,0.012500000000000011,0.9125,0.012500000000000011,0.9333333333333332,0.033291640592396934
fabiana_native8,rbf,3,0.9166666666666666,0.00721687836487036,0.9166666666666666,0.00721687836487036,0.9427083333333334,0.034822840325472136
fabiana_pca4,linear,3,0.8791666666666668,0.019094065395649326,0.8791666666666668,0.019094065395649326,0.9052083333333334,0.034856476562230676
fabiana_pca4,rbf,3,0.9208333333333334,0.019094065395649326,0.9208333333333334,0.019094065395649326,0.9716666666666666,0.011010175218103236
cic_pca4,linear,3,0.6875,0.04506939094329988,0.6875,0.04506939094329988,0.7814583333333333,0.04968782756705446
cic_pca4,rbf,3,0.7083333333333334,0.03818813079129865,0.7083333333333334,0.03818813079129865,0.7964583333333334,0.019708157152137095
ember2018_pca4,linear,3,0.6208333333333333,0.11547005383792516,0.6208333333333333,0.11547005383792516,0.7710416666666666,0.018225297208367606
ember2018_pca4,rbf,3,0.6749999999999999,0.012500000000000011,0.6749999999999999,0.012500000000000011,0.7566666666666667,0.010006508298769088
