configuration,dataset,representation,qubits,fold,repeat,mode,accuracy,balanced_accuracy,roc_auc,confusion_matrix,benign_recall,malware_recall,test_relative_frobenius_error,test_kernel_correlation,prediction_disagreement_fraction,job_id,qpu_seconds
clamp_native10,clamp,native,10,0,0,exact,0.85,0.8500000000000001,0.923125,"[[36, 4], [8, 32]]",0.9,0.8,0.0,1.0,,,
clamp_native10,clamp,native,10,0,0,ideal_aer,0.85,0.8500000000000001,0.9199999999999999,"[[36, 4], [8, 32]]",0.9,0.8,0.04497465695374692,0.9988447193411792,,,
clamp_native10,clamp,native,10,0,0,noisy_aer,0.8625,0.8625,0.914375,"[[36, 4], [7, 33]]",0.9,0.825,0.2793288987271591,0.994320766564123,,,
clamp_native10,clamp,native,10,1,0,exact,0.8875,0.8875,0.95625,"[[37, 3], [6, 34]]",0.925,0.85,0.0,1.0,,,
clamp_native10,clamp,native,10,1,0,ideal_aer,0.875,0.875,0.945,"[[36, 4], [6, 34]]",0.9,0.85,0.040001103413590325,0.9989675669478482,,,
clamp_native10,clamp,native,10,1,0,noisy_aer,0.9,0.8999999999999999,0.949375,"[[38, 2], [6, 34]]",0.95,0.85,0.2728846463080959,0.9938571182601437,,,
clamp_native10,clamp,native,10,2,0,exact,0.7875,0.7875000000000001,0.89875,"[[37, 3], [14, 26]]",0.925,0.65,0.0,1.0,,,
clamp_native10,clamp,native,10,2,0,ideal_aer,0.8,0.8,0.905,"[[36, 4], [12, 28]]",0.9,0.7,0.046407392818608624,0.9987690787208356,,,
clamp_native10,clamp,native,10,2,0,noisy_aer,0.7875,0.7875000000000001,0.90125,"[[37, 3], [14, 26]]",0.925,0.65,0.2775264879743433,0.994680814475924,,,
clamp_pca4,clamp,pca,4,0,0,exact,0.7875,0.7875,0.84125,"[[34, 6], [11, 29]]",0.85,0.725,0.0,1.0,,,
clamp_pca4,clamp,pca,4,0,0,ideal_aer,0.775,0.775,0.8237499999999999,"[[35, 5], [13, 27]]",0.875,0.675,0.03613210664366239,0.9985387086974037,,,
clamp_pca4,clamp,pca,4,0,0,noisy_aer,0.7625,0.7625,0.83,"[[35, 5], [14, 26]]",0.875,0.65,0.07127275051515185,0.998259264619209,,,
clamp_pca4,clamp,pca,4,1,0,exact,0.75,0.75,0.81625,"[[36, 4], [16, 24]]",0.9,0.6,0.0,1.0,,,
clamp_pca4,clamp,pca,4,1,0,ideal_aer,0.75,0.75,0.825625,"[[37, 3], [17, 23]]",0.925,0.575,0.034187028417144126,0.998410565171201,,,
clamp_pca4,clamp,pca,4,1,0,noisy_aer,0.7875,0.7875000000000001,0.83125,"[[37, 3], [14, 26]]",0.925,0.65,0.0693415332473817,0.9980608986076299,,,
clamp_pca4,clamp,pca,4,2,0,exact,0.7125,0.7125,0.859375,"[[30, 10], [13, 27]]",0.75,0.675,0.0,1.0,,,
clamp_pca4,clamp,pca,4,2,0,ideal_aer,0.7,0.7,0.855625,"[[29, 11], [13, 27]]",0.725,0.675,0.035426989664318995,0.9983373970932871,,,
clamp_pca4,clamp,pca,4,2,0,noisy_aer,0.7125,0.7124999999999999,0.8606250000000001,"[[29, 11], [12, 28]]",0.725,0.7,0.0709653479275347,0.9980461397558652,,,
fabiana_native8,fabiana,native,8,0,0,exact,0.9875,0.9875,0.9981249999999999,"[[39, 1], [0, 40]]",0.975,1.0,0.0,1.0,,,
fabiana_native8,fabiana,native,8,0,0,ideal_aer,0.9875,0.9875,0.9981249999999999,"[[39, 1], [0, 40]]",0.975,1.0,0.028129742091599352,0.9994876116512332,,,
fabiana_native8,fabiana,native,8,0,0,noisy_aer,0.9875,0.9875,0.99625,"[[39, 1], [0, 40]]",0.975,1.0,0.2136181539942582,0.9958667282239023,,,
fabiana_native8,fabiana,native,8,1,0,exact,0.975,0.975,0.959375,"[[38, 2], [0, 40]]",0.95,1.0,0.0,1.0,,,
fabiana_native8,fabiana,native,8,1,0,ideal_aer,0.975,0.975,0.953125,"[[38, 2], [0, 40]]",0.95,1.0,0.029408507134706868,0.9994793623029022,,,
fabiana_native8,fabiana,native,8,1,0,noisy_aer,0.975,0.975,0.96375,"[[38, 2], [0, 40]]",0.95,1.0,0.21503007890909687,0.9957423476366747,,,
fabiana_native8,fabiana,native,8,2,0,exact,0.9625,0.9624999999999999,0.98875,"[[38, 2], [1, 39]]",0.95,0.975,0.0,1.0,,,
