configuration,mode,folds,accuracy_mean,accuracy_standard_deviation,balanced_accuracy_mean,balanced_accuracy_standard_deviation,roc_auc_mean,roc_auc_standard_deviation,test_relative_frobenius_error_mean,test_relative_frobenius_error_standard_deviation,test_kernel_correlation_mean,test_kernel_correlation_standard_deviation
clamp_native10,exact,3,0.8416666666666667,0.05051814855409224,0.8416666666666668,0.050518148554092195,0.9260416666666668,0.028860746842958404,0.0,0.0,1.0,0.0
clamp_native10,ideal_aer,3,0.8416666666666668,0.038188130791298645,0.8416666666666668,0.03818813079129865,0.9233333333333332,0.02020725942163687,0.04379438439531529,0.003362278761398658,0.9988604550032877,0.00010017535805843836
clamp_native10,noisy_aer,3,0.8500000000000001,0.05728219618694803,0.85,0.05728219618694792,0.9216666666666667,0.02487730307596328,0.27658001100319946,0.0033247498105616583,0.9942862331000635,0.0004129325418003387
clamp_pca4,exact,3,0.75,0.03749999999999998,0.75,0.03749999999999998,0.8389583333333334,0.02165364191847027,0.0,0.0,1.0,0.0
clamp_pca4,ideal_aer,3,0.7416666666666666,0.0381881307912987,0.7416666666666666,0.0381881307912987,0.835,0.01788636002656774,0.035248708241708504,0.0009847185009203773,0.9984288903206305,0.00010189920909514153
clamp_pca4,noisy_aer,3,0.7541666666666665,0.038188130791298645,0.7541666666666668,0.03818813079129875,0.8406250000000001,0.01733178077982761,0.07052654389668941,0.0010376954114517207,0.9981221009942347,0.0001190161793136506
fabiana_native8,exact,3,0.975,0.012500000000000011,0.975,0.012500000000000067,0.9820833333333333,0.02021692257326354,0.0,0.0,1.0,0.0
fabiana_native8,ideal_aer,3,0.975,0.012500000000000011,0.975,0.012500000000000067,0.9789583333333333,0.02322893310794389,0.028656795352534303,0.0006683289588533086,0.9994811226563657,5.812312286732273e-06
fabiana_native8,noisy_aer,3,0.975,0.012500000000000011,0.975,0.012500000000000067,0.9804166666666667,0.016266017746619264,0.21381517143564974,0.0011293618017731118,0.9958065251318766,6.228546805016607e-05
fabiana_pca4,exact,3,0.9375,0.0,0.9375,0.0,0.9627083333333332,0.003553900439423299,0.0,0.0,1.0,0.0
fabiana_pca4,ideal_aer,3,0.9333333333333332,0.007216878364870297,0.9333333333333332,0.007216878364870297,0.9572916666666665,0.008667768359464452,0.03029638703757072,0.0018342532918489282,0.9991947903250038,0.00017802034357914515
fabiana_pca4,noisy_aer,3,0.9375,0.0,0.9375,0.0,0.9577083333333335,0.0015728821740146988,0.07075080846192999,0.0012677217135374443,0.9989268683337045,0.0002180102707440233
cic_pca4,exact,3,0.6916666666666668,0.02886751345948125,0.6916666666666668,0.02886751345948125,0.7799999999999999,0.011675963557668468,0.0,0.0,1.0,0.0
cic_pca4,ideal_aer,3,0.7041666666666666,0.0314576434802948,0.7041666666666666,0.0314576434802948,0.7779166666666667,0.019787280215667138,0.035542828835505226,0.0011931179713004683,0.9990296125878343,0.0001545438915260275
cic_pca4,noisy_aer,3,0.6958333333333333,0.026020824993326627,0.6958333333333333,0.026020824993326627,0.7547916666666666,0.027502367322347523,0.07081749487872573,0.0010713173415771713,0.9987752374632638,0.00019775849975495714
ember2018_pca4,exact,3,0.6166666666666667,0.014433756729740658,0.6166666666666667,0.014433756729740658,0.74125,0.024518806557416273,0.0,0.0,1.0,0.0
ember2018_pca4,ideal_aer,3,0.625,0.03307189138830737,0.625,0.03307189138830737,0.7293750000000001,0.035027890673005116,0.029419733751482668,0.0014899369207185139,0.9990554760173347,9.18516610294592e-05
ember2018_pca4,noisy_aer,3,0.625,0.025000000000000022,0.625,0.025000000000000022,0.7302083333333332,0.023170001258811603,0.06915230519541653,0.0006517210482842135,0.9987961447234222,0.0001506646668013301
clamp_native10,hardware,3,0.8458333333333333,0.019094065395649375,0.8458333333333333,0.019094065395649385,0.9152083333333333,0.027459724294561505,0.4787970392442853,0.08378164381480795,0.9704925142201432,0.014995965249539599
clamp_pca4,hardware,3,0.7458333333333332,0.0505181485540923,0.7458333333333332,0.0505181485540923,0.8166666666666668,0.013783104089185878,0.11182003588777928,0.0067220372859469815,0.995791735793078,0.0004056012520356232
fabiana_native8,hardware,3,0.9583333333333334,0.028867513459481253,0.9583333333333334,0.028867513459481253,0.98,0.016851835953390952,0.44143231644846087,0.2648499645084409,0.9235375490037937,0.12494291272097903
cic_pca4,hardware,3,0.7041666666666666,0.04389855730355309,0.7041666666666666,0.043898557303553035,0.7770833333333335,0.035687080412010914,0.11145409311512355,0.010571161512729287,0.9972863441862762,0.00041570079603693306
ember2018_pca4,hardware,3,0.6125,0.024999999999999967,0.6125,0.024999999999999967,0.7225,0.01595893166850463,0.11140411929232691,0.01508280267804471,0.9965749869552583,0.0025169675244706277
fabiana_pca4,hardware,3,0.9291666666666667,0.007216878364870297,0.9291666666666667,0.007216878364870297,0.96125,0.005555121510822293,0.11404088658772699,0.010140316483279847,0.9971064049424948,0.0008483759789816247
