configuration,mode,metric,estimate,ci_low,ci_high,bootstrap_replicates,test_rows,bootstrap_design
cic_pca4,exact,accuracy,0.6916666666666668,0.6333333333333333,0.7458333333333335,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,exact,balanced_accuracy,0.6916666666666668,0.6333333333333334,0.7458333333333335,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,exact,roc_auc,0.7799999999999999,0.7197916666666666,0.8364635416666666,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,hardware,accuracy,0.7041666666666666,0.6458333333333334,0.7583333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,hardware,balanced_accuracy,0.7041666666666666,0.6458333333333334,0.7583333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,hardware,roc_auc,0.7770833333333335,0.7174999999999999,0.8318802083333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,ideal_aer,accuracy,0.7041666666666666,0.6458333333333334,0.7624999999999998,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,ideal_aer,balanced_accuracy,0.7041666666666666,0.6458333333333334,0.7624999999999998,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,ideal_aer,roc_auc,0.7779166666666667,0.7158333333333333,0.835,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,noisy_aer,accuracy,0.6958333333333333,0.6375,0.7541666666666668,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,noisy_aer,balanced_accuracy,0.6958333333333333,0.6375,0.7541666666666668,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
cic_pca4,noisy_aer,roc_auc,0.7547916666666666,0.6904114583333334,0.8162552083333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
clamp_native10,exact,accuracy,0.8416666666666667,0.7958333333333334,0.8833333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
clamp_native10,exact,balanced_accuracy,0.8416666666666668,0.7958333333333334,0.8833333333333334,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
clamp_native10,exact,roc_auc,0.9260416666666668,0.889578125,0.9570833333333333,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
clamp_native10,hardware,accuracy,0.8458333333333333,0.7999999999999999,0.8876041666666652,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
clamp_native10,hardware,balanced_accuracy,0.8458333333333333,0.7999999999999999,0.8876041666666652,10000,240,class-stratified row resampling within fold; metric averaged over 3 held-out splits
