configuration,dataset,representation,qubits,fold,kernel,accuracy,balanced_accuracy,roc_auc,confusion_matrix
clamp_native10,clamp,native,10,0,linear,0.7375,0.7375,0.8075,"[[30, 10], [11, 29]]"
clamp_native10,clamp,native,10,0,rbf,0.8375,0.8375,0.913125,"[[36, 4], [9, 31]]"
clamp_native10,clamp,native,10,1,linear,0.7125,0.7124999999999999,0.823125,"[[28, 12], [11, 29]]"
clamp_native10,clamp,native,10,1,rbf,0.875,0.875,0.896875,"[[39, 1], [9, 31]]"
clamp_native10,clamp,native,10,2,linear,0.7,0.7,0.820625,"[[27, 13], [11, 29]]"
clamp_native10,clamp,native,10,2,rbf,0.85,0.85,0.881875,"[[38, 2], [10, 30]]"
clamp_pca4,clamp,pca,4,0,linear,0.5625,0.5625,0.800625,"[[36, 4], [31, 9]]"
clamp_pca4,clamp,pca,4,0,rbf,0.8125,0.8125,0.90125,"[[35, 5], [10, 30]]"
clamp_pca4,clamp,pca,4,1,linear,0.5625,0.5625,0.6643749999999999,"[[40, 0], [35, 5]]"
clamp_pca4,clamp,pca,4,1,rbf,0.7125,0.7124999999999999,0.7268749999999999,"[[23, 17], [6, 34]]"
clamp_pca4,clamp,pca,4,2,linear,0.65,0.65,0.738125,"[[32, 8], [20, 20]]"
clamp_pca4,clamp,pca,4,2,rbf,0.7375,0.7375,0.848125,"[[26, 14], [7, 33]]"
fabiana_native8,fabiana,native,8,0,linear,0.9,0.9,0.925,"[[40, 0], [8, 32]]"
fabiana_native8,fabiana,native,8,0,rbf,0.9125,0.9125,0.963125,"[[40, 0], [7, 33]]"
fabiana_native8,fabiana,native,8,1,linear,0.9125,0.9125,0.905,"[[38, 2], [5, 35]]"
fabiana_native8,fabiana,native,8,1,rbf,0.9125,0.9125,0.9025000000000001,"[[38, 2], [5, 35]]"
fabiana_native8,fabiana,native,8,2,linear,0.925,0.925,0.97,"[[40, 0], [6, 34]]"
fabiana_native8,fabiana,native,8,2,rbf,0.925,0.925,0.9624999999999999,"[[40, 0], [6, 34]]"
fabiana_pca4,fabiana,pca,4,0,linear,0.9,0.9,0.911875,"[[40, 0], [8, 32]]"
fabiana_pca4,fabiana,pca,4,0,rbf,0.9375,0.9375,0.975,"[[39, 1], [4, 36]]"
fabiana_pca4,fabiana,pca,4,1,linear,0.8625,0.8625,0.8674999999999999,"[[38, 2], [9, 31]]"
fabiana_pca4,fabiana,pca,4,1,rbf,0.925,0.925,0.9593749999999999,"[[38, 2], [4, 36]]"
fabiana_pca4,fabiana,pca,4,2,linear,0.875,0.875,0.93625,"[[40, 0], [10, 30]]"
fabiana_pca4,fabiana,pca,4,2,rbf,0.9,0.9,0.980625,"[[40, 0], [8, 32]]"
cic_pca4,cic,pca,4,0,linear,0.7,0.7,0.805,"[[34, 6], [18, 22]]"
cic_pca4,cic,pca,4,0,rbf,0.675,0.675,0.800625,"[[32, 8], [18, 22]]"
cic_pca4,cic,pca,4,1,linear,0.6375,0.6375,0.724375,"[[37, 3], [26, 14]]"
cic_pca4,cic,pca,4,1,rbf,0.7,0.7,0.775,"[[33, 7], [17, 23]]"
cic_pca4,cic,pca,4,2,linear,0.725,0.725,0.8150000000000001,"[[35, 5], [17, 23]]"
cic_pca4,cic,pca,4,2,rbf,0.75,0.75,0.81375,"[[33, 7], [13, 27]]"
ember2018_pca4,ember2018,pca,4,0,linear,0.6875,0.6875,0.75,"[[35, 5], [20, 20]]"
ember2018_pca4,ember2018,pca,4,0,rbf,0.675,0.675,0.746875,"[[24, 16], [10, 30]]"
ember2018_pca4,ember2018,pca,4,1,linear,0.6875,0.6875,0.781875,"[[20, 20], [5, 35]]"
ember2018_pca4,ember2018,pca,4,1,rbf,0.6875,0.6875,0.75625,"[[17, 23], [2, 38]]"
ember2018_pca4,ember2018,pca,4,2,linear,0.4875,0.4875,0.7812499999999999,"[[1, 39], [2, 38]]"
ember2018_pca4,ember2018,pca,4,2,rbf,0.6625,0.6625,0.7668750000000001,"[[17, 23], [4, 36]]"
