dataset,effect,folds,mean,standard_deviation,degrees_of_freedom,ci_low_t,ci_high_t,interpretation
clamp,exact_pca_minus_native,3,-0.09166666666666672,0.040181878170803896,2,-0.19148398555971805,0.008150652226384614,Descriptive 3-split paired t interval
clamp,hardware_pca_minus_native,3,-0.10000000000000002,0.04506939094329995,2,-0.21195857368787022,0.011958573687870178,Descriptive 3-split paired t interval
clamp,native_hardware_minus_exact,3,0.004166666666666652,0.050518148554092264,2,-0.12132737128435936,0.12966070461769266,Descriptive 3-split paired t interval
clamp,pca_hardware_minus_exact,3,-0.004166666666666652,0.05051814855409226,2,-0.12966070461769263,0.12132737128435933,Descriptive 3-split paired t interval
clamp,difference_in_differences,3,-0.008333333333333304,0.07637626158259732,2,-0.19806248501317125,0.18139581834650464,Descriptive 3-split paired t interval
fabiana,exact_pca_minus_native,3,-0.03749999999999998,0.012500000000000067,2,-0.06855172139687926,-0.006448278603120687,Descriptive 3-split paired t interval
fabiana,hardware_pca_minus_native,3,-0.029166666666666636,0.036084391824351546,2,-0.1188052652031136,0.06047193186978034,Descriptive 3-split paired t interval
fabiana,native_hardware_minus_exact,3,-0.016666666666666646,0.040181878170804,2,-0.11648398555971823,0.08315065222638493,Descriptive 3-split paired t interval
fabiana,pca_hardware_minus_exact,3,-0.008333333333333304,0.007216878364870297,2,-0.026261053040622668,0.00959438637395606,Descriptive 3-split paired t interval
fabiana,difference_in_differences,3,0.00833333333333334,0.04732423621500228,2,-0.10922658652813451,0.12589325319480119,Descriptive 3-split paired t interval
