condition_id,order,configuration,dataset,qubits,fold,repeat,anchor,attempt,job_id,batch_id,status,submitted_at_utc,retrieved_at_utc,total_executions,qpu_seconds,error_message
clamp_native10__fold0,0,clamp_native10,clamp,10,0,0,True,1,da7du86sidac73af8l4g,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:09.236849+00:00,2026-08-26T22:46:10.846672+00:00,4894720,1354,
clamp_pca4__fold0,1,clamp_pca4,clamp,4,0,0,True,1,da7du8m0ukec73836ch0,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:11.237075+00:00,2026-08-26T22:46:14.760489+00:00,4894720,1337,
fabiana_native8__fold0,2,fabiana_native8,fabiana,8,0,0,True,1,da7du96sidac73af8l6g,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:12.735836+00:00,2026-08-26T22:46:18.679816+00:00,4894720,1348,
cic_pca4__fold1,3,cic_pca4,cic,4,1,0,False,1,da7du9m0ukec73836cig,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:14.767780+00:00,2026-08-26T22:46:20.582221+00:00,4894720,1337,
ember2018_pca4__fold0,4,ember2018_pca4,ember2018,4,0,0,False,1,da7dua3sq5js73bjrdrg,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:16.617164+00:00,2026-08-26T22:46:24.871925+00:00,4894720,1337,
fabiana_native8__fold1,5,fabiana_native8,fabiana,8,1,0,False,1,da7duak6l22c73dnflsg,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:18.470214+00:00,2026-08-26T22:46:28.794551+00:00,4894720,1348,
fabiana_native8__fold2,6,fabiana_native8,fabiana,8,2,0,False,1,da7duarsq5js73bjrdtg,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:20.026155+00:00,2026-08-26T22:46:32.755868+00:00,4894720,1348,
fabiana_pca4__fold0,7,fabiana_pca4,fabiana,4,0,0,False,1,da7dubesidac73af8lcg,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:21.790795+00:00,2026-08-26T22:46:36.406348+00:00,4894720,1337,
clamp_pca4__fold1,8,clamp_pca4,clamp,4,1,0,False,1,da7dubm0ukec73836cmg,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:23.458788+00:00,2026-08-26T22:46:39.970641+00:00,4894720,1337,
fabiana_pca4__fold1,9,fabiana_pca4,fabiana,4,1,0,False,1,da7duc3sq5js73bjrdv0,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:24.992050+00:00,2026-08-26T22:46:43.530103+00:00,4894720,1337,
clamp_native10__fold1,10,clamp_native10,clamp,10,1,0,False,1,da7duck6l22c73dnflv0,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:26.911466+00:00,2026-08-26T22:46:48.615062+00:00,4894720,1354,
cic_pca4__fold0,11,cic_pca4,cic,4,0,0,False,1,da7dud46l22c73dnfm00,7f298afd-4452-4e66-814a-999eca99dbbd,DONE,2026-08-26T12:42:28.577563+00:00,2026-08-26T22:46:50.313946+00:00,4894720,1337,
clamp_pca4__fold2,12,clamp_pca4,clamp,4,2,0,False,1,da7mj7rsq5js73bk50i0,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:03.769172+00:00,2026-08-27T02:22:47.679530+00:00,4894720,1337,
ember2018_pca4__fold2,13,ember2018_pca4,ember2018,4,2,0,False,1,da7mj8c6l22c73dnpdq0,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:06.382422+00:00,2026-08-27T02:22:51.380601+00:00,4894720,1337,
fabiana_pca4__fold2,14,fabiana_pca4,fabiana,4,2,0,False,1,da7mj8rsq5js73bk50jg,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:08.077026+00:00,2026-08-27T02:22:56.064385+00:00,4894720,1337,
ember2018_pca4__fold1,15,ember2018_pca4,ember2018,4,1,0,False,1,da7mj9bsq5js73bk50kg,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:09.887327+00:00,2026-08-27T02:23:00.216135+00:00,4894720,1337,
cic_pca4__fold2,16,cic_pca4,cic,4,2,0,False,1,da7mj9u0ukec7383g060,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:11.834923+00:00,2026-08-27T02:23:03.873362+00:00,4894720,1337,
clamp_native10__fold2,17,clamp_native10,clamp,10,2,0,False,1,da7mja6sidac73afi320,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:13.652654+00:00,2026-08-27T02:23:08.633040+00:00,4894720,1354,
clamp_native10__fold0__repeat1,18,clamp_native10,clamp,10,0,1,True,1,da7mjajsq5js73bk50mg,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:15.583597+00:00,2026-08-27T02:23:11.407629+00:00,4894720,1354,
clamp_pca4__fold0__repeat1,19,clamp_pca4,clamp,4,0,1,True,1,da7mjb60ukec7383g08g,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:17.378622+00:00,2026-08-27T02:23:14.950114+00:00,4894720,1337,
fabiana_native8__fold0__repeat1,20,fabiana_native8,fabiana,8,0,1,True,1,da7mjbmsidac73afi33g,515bf239-e881-43e5-93ae-c95d8e31eb30,DONE,2026-08-26T22:33:19.214339+00:00,2026-08-27T02:23:18.864038+00:00,4894720,1348,
