input_range,reps,entanglement,C,fold_accuracy,fold_balanced_accuracy,fold_roc_auc,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,centered_kernel_target_alignment,within_class_similarity_mean,between_class_similarity_mean,within_minus_between_similarity,off_diagonal_mean,off_diagonal_std,effective_rank,minimum_eigenvalue
minus_one_to_one,1,linear,0.1,"[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.75]","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.75]","[0.7653061224489796, 0.7857142857142857, 0.7448979591836735, 0.836734693877551, 0.8571428571428572]",0.7357142857142857,0.028571428571428557,0.7357142857142857,0.028571428571428557,0.7979591836734694,0.04251564623673399,0.10838695105261255,0.17891788660391053,0.1328305552704594,0.04608733133345114,0.15570843916979846,0.2723067398450978,9.538698377832592,3.9481361202811424e-13
minus_one_to_one,1,linear,1.0,"[0.7142857142857143, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.8214285714285714]","[0.7142857142857143, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.8214285714285714]","[0.7959183673469388, 0.8724489795918366, 0.8928571428571428, 0.8010204081632653, 0.8622448979591837]",0.7428571428571429,0.05248906591678237,0.7428571428571429,0.05248906591678237,0.8448979591836734,0.039202801453670486,0.10838695105261255,0.17891788660391053,0.1328305552704594,0.04608733133345114,0.15570843916979846,0.2723067398450978,9.538698377832592,3.9481361202811424e-13
minus_one_to_one,1,linear,10.0,"[0.7142857142857143, 0.75, 0.8928571428571429, 0.5714285714285714, 0.8214285714285714]","[0.7142857142857143, 0.75, 0.8928571428571428, 0.5714285714285714, 0.8214285714285714]","[0.7091836734693878, 0.8010204081632653, 0.9387755102040817, 0.7295918367346939, 0.7244897959183674]",0.75,0.10832679205787932,0.75,0.10832679205787928,0.7806122448979592,0.08519033250915022,0.10838695105261255,0.17891788660391053,0.1328305552704594,0.04608733133345114,0.15570843916979846,0.2723067398450978,9.538698377832592,3.9481361202811424e-13
minus_one_to_one,1,linear,100.0,"[0.6785714285714286, 0.75, 0.6785714285714286, 0.5714285714285714, 0.7857142857142857]","[0.6785714285714286, 0.75, 0.6785714285714286, 0.5714285714285714, 0.7857142857142857]","[0.6938775510204082, 0.8061224489795918, 0.7806122448979592, 0.6632653061224489, 0.7397959183673469]",0.6928571428571428,0.07354021529276429,0.6928571428571428,0.07354021529276429,0.7367346938775511,0.05288432048918344,0.10838695105261255,0.17891788660391053,0.1328305552704594,0.04608733133345114,0.15570843916979846,0.2723067398450978,9.538698377832592,3.9481361202811424e-13
minus_one_to_one,1,full,0.1,"[0.6785714285714286, 0.75, 0.7142857142857143, 0.6785714285714286, 0.7142857142857143]","[0.6785714285714286, 0.75, 0.7142857142857143, 0.6785714285714286, 0.7142857142857143]","[0.7295918367346939, 0.8469387755102041, 0.8163265306122449, 0.7040816326530612, 0.7959183673469388]",0.7071428571428571,0.026726124191242425,0.7071428571428571,0.026726124191242425,0.7785714285714287,0.05356899897308854,0.11851355848337987,0.19654778343228074,0.15462434541077985,0.04192343802150089,0.17543526068764,0.23487336860695524,10.814083289121376,4.882961205610716e-11
minus_one_to_one,1,full,1.0,"[0.75, 0.8214285714285714, 0.75, 0.6785714285714286, 0.75]","[0.75, 0.8214285714285714, 0.75, 0.6785714285714286, 0.75]","[0.7653061224489797, 0.8724489795918366, 0.9285714285714286, 0.673469387755102, 0.8622448979591837]",0.75,0.04517539514526254,0.75,0.04517539514526254,0.8204081632653061,0.09031621066677066,0.11851355848337987,0.19654778343228074,0.15462434541077985,0.04192343802150089,0.17543526068764,0.23487336860695524,10.814083289121376,4.882961205610716e-11
minus_one_to_one,1,full,10.0,"[0.7857142857142857, 0.7857142857142857, 0.8214285714285714, 0.6785714285714286, 0.7857142857142857]","[0.7857142857142857, 0.7857142857142857, 0.8214285714285714, 0.6785714285714286, 0.7857142857142857]","[0.8112244897959183, 0.7602040816326531, 0.903061224489796, 0.6530612244897959, 0.7959183673469388]",0.7714285714285714,0.04844521416518047,0.7714285714285714,0.04844521416518047,0.7846938775510204,0.08095381008285188,0.11851355848337987,0.19654778343228074,0.15462434541077985,0.04192343802150089,0.17543526068764,0.23487336860695524,10.814083289121376,4.882961205610716e-11
minus_one_to_one,1,full,100.0,"[0.75, 0.7142857142857143, 0.7142857142857143, 0.5357142857142857, 0.7142857142857143]","[0.75, 0.7142857142857143, 0.7142857142857142, 0.5357142857142857, 0.7142857142857143]","[0.7959183673469388, 0.6938775510204082, 0.7908163265306122, 0.6173469387755102, 0.7448979591836734]",0.6857142857142857,0.07626484465736652,0.6857142857142857,0.0762648446573665,0.7285714285714285,0.06671003725992307,0.11851355848337987,0.19654778343228074,0.15462434541077985,0.04192343802150089,0.17543526068764,0.23487336860695524,10.814083289121376,4.882961205610716e-11
minus_one_to_one,2,linear,0.1,"[0.75, 0.6428571428571429, 0.7142857142857143, 0.75, 0.75]","[0.75, 0.6428571428571428, 0.7142857142857143, 0.75, 0.75]","[0.8112244897959184, 0.7244897959183673, 0.653061224489796, 0.75, 0.7857142857142857]",0.7214285714285714,0.04164965639175213,0.7214285714285714,0.04164965639175217,0.7448979591836734,0.0546656948407301,0.12692828051780133,0.2259448162006139,0.17728555263203594,0.04865926356857797,0.20144015109413582,0.2534067965857244,8.993818874322454,1.2122128634639691e-11
minus_one_to_one,2,linear,1.0,"[0.7857142857142857, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.8214285714285714]","[0.7857142857142857, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.8214285714285714]","[0.8214285714285714, 0.8622448979591837, 0.8520408163265306, 0.7551020408163266, 0.816326530612245]",0.7571428571428571,0.05248906591678237,0.7571428571428571,0.05248906591678237,0.8214285714285715,0.03749218994055883,0.12692828051780133,0.2259448162006139,0.17728555263203594,0.04865926356857797,0.20144015109413582,0.2534067965857244,8.993818874322454,1.2122128634639691e-11
minus_one_to_one,2,linear,10.0,"[0.75, 0.75, 0.8571428571428571, 0.6428571428571429, 0.8214285714285714]","[0.75, 0.75, 0.8571428571428572, 0.6428571428571428, 0.8214285714285714]","[0.8775510204081632, 0.8520408163265305, 0.8877551020408163, 0.6989795918367347, 0.7500000000000001]",0.7642857142857142,0.07354021529276425,0.7642857142857142,0.07354021529276432,0.813265306122449,0.0751646810640934,0.12692828051780133,0.2259448162006139,0.17728555263203594,0.04865926356857797,0.20144015109413582,0.2534067965857244,8.993818874322454,1.2122128634639691e-11
minus_one_to_one,2,linear,100.0,"[0.75, 0.7142857142857143, 0.75, 0.6071428571428571, 0.7142857142857143]","[0.75, 0.7142857142857143, 0.75, 0.6071428571428572, 0.7142857142857143]","[0.8826530612244898, 0.8571428571428572, 0.7551020408163265, 0.653061224489796, 0.7908163265306123]",0.7071428571428572,0.05248906591678241,0.7071428571428572,0.05248906591678237,0.7877551020408163,0.081287535782263,0.12692828051780133,0.2259448162006139,0.17728555263203594,0.04865926356857797,0.20144015109413582,0.2534067965857244,8.993818874322454,1.2122128634639691e-11
minus_one_to_one,2,full,0.1,"[0.6428571428571429, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.7142857142857143]","[0.6428571428571428, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.7142857142857142]","[0.7040816326530612, 0.7806122448979592, 0.8979591836734694, 0.7142857142857143, 0.8010204081632653]",0.7071428571428571,0.047380354147934255,0.7071428571428571,0.04738035414793428,0.7795918367346939,0.06991099237943117,0.09494799694631617,0.1446609688971942,0.11751773386397496,0.02714323503321925,0.13099171384449387,0.2110748176862555,14.61700470260368,1.4377694929663752e-09
